OfficialNames,CanonicalSmiles,uM
"Traditional Herbal Isolate=hydrogen cyanide,FDA Approved Drug=FERRIC HEXACYANOFERRATE(II)",C#N,1.39
"Traditional Herbal Isolate=hydrogen cyanide,FDA Approved Drug=FERRIC HEXACYANOFERRATE(II)",C#N,2.78
"Traditional Herbal Isolate=hydrogen cyanide,FDA Approved Drug=FERRIC HEXACYANOFERRATE(II)",C#N,5.56
"Traditional Herbal Isolate=hydrogen cyanide,FDA Approved Drug=FERRIC HEXACYANOFERRATE(II)",C#N,11.11
"Traditional Herbal Isolate=hydrogen cyanide,FDA Approved Drug=FERRIC HEXACYANOFERRATE(II)",C#N,22.22
FDA Approved Drug=NITRIC OXIDE,[N]=O,1.39
FDA Approved Drug=NITRIC OXIDE,[N]=O,2.78
FDA Approved Drug=NITRIC OXIDE,[N]=O,5.56
FDA Approved Drug=NITRIC OXIDE,[N]=O,11.11
FDA Approved Drug=NITRIC OXIDE,[N]=O,22.22
"Indian Approved Name=formalin;formaldehyde,Australia Approved Name=FORMALDEHYDE",C=O,1.39
"Indian Approved Name=formalin;formaldehyde,Australia Approved Name=FORMALDEHYDE",C=O,2.78
"Indian Approved Name=formalin;formaldehyde,Australia Approved Name=FORMALDEHYDE",C=O,5.56
"Indian Approved Name=formalin;formaldehyde,Australia Approved Name=FORMALDEHYDE",C=O,11.11
"Indian Approved Name=formalin;formaldehyde,Australia Approved Name=FORMALDEHYDE",C=O,22.22
NPC Approved Name=calcium sulfocarbolate,[Ca],1.39
NPC Approved Name=calcium sulfocarbolate,[Ca],2.78
NPC Approved Name=calcium sulfocarbolate,[Ca],5.56
NPC Approved Name=calcium sulfocarbolate,[Ca],11.11
NPC Approved Name=calcium sulfocarbolate,[Ca],22.22
Traditional Herbal Isolate=cyanic acid,C(#N)O,1.39
Traditional Herbal Isolate=cyanic acid,C(#N)O,2.78
Traditional Herbal Isolate=cyanic acid,C(#N)O,5.56
Traditional Herbal Isolate=cyanic acid,C(#N)O,11.11
Traditional Herbal Isolate=cyanic acid,C(#N)O,22.22
"China Approved Name=sodium nitrite,FDA Approved Drug=SODIUM NITRITE",N(=O)[O-],1.39
"China Approved Name=sodium nitrite,FDA Approved Drug=SODIUM NITRITE",N(=O)[O-],2.78
"China Approved Name=sodium nitrite,FDA Approved Drug=SODIUM NITRITE",N(=O)[O-],5.56
"China Approved Name=sodium nitrite,FDA Approved Drug=SODIUM NITRITE",N(=O)[O-],11.11
"China Approved Name=sodium nitrite,FDA Approved Drug=SODIUM NITRITE",N(=O)[O-],22.22
"Indian Approved Name=alcohol;absolute alcohol;polivinyl alcohol;ethyl alcohol;ethanol;lanolin alcohol,WHO Essential Medicine=ethanol,Australia Approved Name=ALCOHOL;ETHANOL,Traditional Herbal Isolate=ethyl alcohol;psyllostearyl alcohol pterosterone;trihydric alcohol,FDA Approved Drug=ALCOHOL",CCO,1.39
"Indian Approved Name=alcohol;absolute alcohol;polivinyl alcohol;ethyl alcohol;ethanol;lanolin alcohol,WHO Essential Medicine=ethanol,Australia Approved Name=ALCOHOL;ETHANOL,Traditional Herbal Isolate=ethyl alcohol;psyllostearyl alcohol pterosterone;trihydric alcohol,FDA Approved Drug=ALCOHOL",CCO,2.78
"Indian Approved Name=alcohol;absolute alcohol;polivinyl alcohol;ethyl alcohol;ethanol;lanolin alcohol,WHO Essential Medicine=ethanol,Australia Approved Name=ALCOHOL;ETHANOL,Traditional Herbal Isolate=ethyl alcohol;psyllostearyl alcohol pterosterone;trihydric alcohol,FDA Approved Drug=ALCOHOL",CCO,5.56
"Indian Approved Name=alcohol;absolute alcohol;polivinyl alcohol;ethyl alcohol;ethanol;lanolin alcohol,WHO Essential Medicine=ethanol,Australia Approved Name=ALCOHOL;ETHANOL,Traditional Herbal Isolate=ethyl alcohol;psyllostearyl alcohol pterosterone;trihydric alcohol,FDA Approved Drug=ALCOHOL",CCO,11.11
