STF_ID,uM,%Pos  W2/Med,%Inh Cells/High,CanonicalSmiles,Selectivity,target
STF-001002,1.39,108.6,-8.8,COC1=CC2=C(C=C1)NC3=C2CCNC3,0.02268760907504363,0
STF-001002,2.78,122.8,-0.3,COC1=CC2=C(C=C1)NC3=C2CCNC3,0.02268760907504363,0
STF-001002,5.56,120.3,-8.8,COC1=CC2=C(C=C1)NC3=C2CCNC3,0.02268760907504363,0
STF-001002,11.11,89.0,-26.5,COC1=CC2=C(C=C1)NC3=C2CCNC3,0.02268760907504363,0
STF-001002,22.22,85.8,-6.4,COC1=CC2=C(C=C1)NC3=C2CCNC3,0.02268760907504363,0
STF-001003,1.39,96.4,-16.5,CC(=O)N,0.022727272727272728,0
STF-001003,2.78,121.1,-12.3,CC(=O)N,0.022727272727272728,0
STF-001003,5.56,115.7,-10.6,CC(=O)N,0.022727272727272728,0
STF-001003,11.11,92.2,-14.8,CC(=O)N,0.022727272727272728,0
STF-001003,22.22,109.6,-5.6,CC(=O)N,0.022727272727272728,0
STF-001004,1.39,122.3,-14.3,C1C2CC3CC1CC(C2)(C3)N,0.09868421052631579,0
STF-001004,2.78,124.0,-1.5,C1C2CC3CC1CC(C2)(C3)N,0.09868421052631579,0
STF-001004,5.56,101.1,-11.5,C1C2CC3CC1CC(C2)(C3)N,0.09868421052631579,0
STF-001004,11.11,99.0,10.3,C1C2CC3CC1CC(C2)(C3)N,0.09868421052631579,0
STF-001004,22.22,116.4,-4.9,C1C2CC3CC1CC(C2)(C3)N,0.09868421052631579,0
STF-001084,1.39,102.0,-12.8,C1C2C(C(C(O2)N3C=NC4=C3N=CN=C4N)O)OP(=O)(O1)O,0.07692307692307693,0
STF-001084,2.78,101.1,-22.0,C1C2C(C(C(O2)N3C=NC4=C3N=CN=C4N)O)OP(=O)(O1)O,0.07692307692307693,0
STF-001084,5.56,96.1,-7.8,C1C2C(C(C(O2)N3C=NC4=C3N=CN=C4N)O)OP(=O)(O1)O,0.07692307692307693,0
