STF_ID,uM,%Pos  W2/Med,%Inh Cells/High,CanonicalSmiles,Selectivity,target
STF-007610,0.3308152800757723,97.3,23.0,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC)OC)OC)OC,0.175,0
STF-001079,-0.9506947292370014,71.3,-19.4,C1=CC(=CC=C1C(CN)(CS(=O)(=O)O)O)Cl,0.0,0
STF-006867,-0.7674335242015328,54.3,-33.3,CC(=O)OC1CN2CCC1CC2,0.12,-1
STF-001894,1.7955864944240147,111.7,11.2,CC1=CC(=C(C(=C1CC2=NCCN2)C)O)C(C)(C)C,0.17027027027027028,0
STF-002142,1.7955864944240147,104.4,-10.7,CCN(CC)CCOC(=O)C1=CC(=C(C=C1OC)N)Cl,0.08839779005524863,0
STF-007005,0.3308152800757723,129.3,43.6,CNC1C(C2C(CC(C(O2)OC3C(CC(C(C3O)O)N)N)N)OC1OC4C(C(C(C(O4)CO)N)O)O)O,0.0,0
STF-007692,0.3308152800757723,99.7,-3.8,CC(C)NC1=NC=CC=N1,0.0,0
STF-001340,-0.7674335242015328,69.9,-7.7,CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=C(C=C4)Cl,0.2803738317757009,-1
STF-001524,-0.4009111141305953,97.8,-14.8,CC[N+](C)(C)C1=CC(=CC=C1)O,0.005649717514124294,0
STF-007853,-0.9506947292370014,110.3,11.2,CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)Cl)O,0.0639269406392694,0
STF-006760,0.3308152800757723,126.5,-6.6,CC1(C(N2C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)O)C,0.0963855421686747,0
STF-002132,-0.9506947292370014,125.8,-2.2,C=CCN1CCC2=CC(=C(C=C2C(C1)C3=CC=CC=C3)O)O,0.08695652173913042,0
STF-006188,-0.9506947292370014,109.9,-4.9,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC,0.040103492884864166,0
STF-001781,-0.4009111141305953,105.3,10.8,COC1=CC2=C(C=C1)NC=C2CCN,0.07458912768647281,0
STF-006986,-0.7674335242015328,77.8,-41.3,CC12CCC3C(C1CCC2=O)CC(=C)C4=CC(=O)C=CC34C,0.0,0
STF-007175,-0.9506947292370014,97.3,-24.3,CC1(C(C2(C3CCC4(C(OC(=O)CC4(C3=C)OC2CC1=O)C5=COC=C5)C)C)C(C(=O)OC)O)C,0.0,0
STF-006532,0.3308152800757723,126.7,-31.3,CN(C)CCOC1=CC=C(C=C1)CNC(=O)C2=CC(=C(C(=C2)OC)OC)OC,0.008264462809917356,0
STF-006916,1.7955864944240147,118.4,-9.0,CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4(C#C)O)C,0.009433962264150943,0
STF-001733,-0.9506947292370014,101.3,-3.3,CN1C2CCC1CC(C2)NC(=O)C3=NN(C4=CC=CC=C43)C,0.0,0
STF-001860,-0.4009111141305953,81.9,-6.1,C1=CC2=C(C=CC(=O)O2)C=C1N=O,0.11627906976744184,0
STF-001625,0.3308152800757723,75.9,-7.6,COC1=C(C=CC(=C1)CC(=O)O)O,0.01167883211678832,0
